id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Thunder,Iron Drift,rock,intense,0.88,145,0.42,0.58,0.08
12,Golden Hour,Daydream Atlas,r&b,relaxed,0.50,95,0.78,0.70,0.55
13,Bass Cathedral,DJ Nexus,edm,intense,0.95,140,0.72,0.90,0.03
14,Autumn Letters,Clara Moon,folk,sad,0.30,88,0.35,0.40,0.93
15,Neon Jungle,Pixel Drift,edm,happy,0.85,128,0.88,0.87,0.06
16,Broken Records,The Vestiges,indie pop,sad,0.45,100,0.30,0.48,0.60
17,Skyline Funk,Groove Theory,funk,happy,0.80,115,0.90,0.85,0.20
18,Deep Blue,Coral Sound,ambient,moody,0.32,66,0.40,0.35,0.88
19,Rebel Yell Remix,Voltline,rock,intense,0.92,160,0.55,0.70,0.05
20,Rainy Jazz Cafe,Slow Stereo,jazz,chill,0.33,82,0.68,0.50,0.91
